stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
6802,26802,VEIRS MILL RD & UNIVERSITY BLVD,,39.040345,-77.055777,,,,
6804,26804,VEIRS MILL RD & GALT AVE,,39.041533,-77.058022,,,,
6806,26806,VEIRS MILL RD & MONTERREY DR,,39.042895,-77.060614,,,,
6808,26808,VEIRS MILL RD & MONTERREY DR,,39.044052,-77.062866,,,,
6810,26810,VEIRS MILL RD & NEWPORT MILL RD,,39.045036,-77.064613,,,,
6812,26812,VEIRS MILL RD & PENDLETON DR,,39.046801,-77.067235,,,,
6814,26814,VEIRS MILL RD & CLARIDGE RD,,39.0485,-77.069016,,,,
6816,26816,VEIRS MILL RD & VALLEYWOOD DR,,39.049953,-77.071362,,,,
6820,26820,VEIRS MILL RD & OKINAWA AVE,,39.076443,-77.121475,,,,
6822,26822,VEIRS MILL RD & TWINBROOK PKWY,,39.073246,-77.111586,,,,
6824,26824,VEIRS MILL RD & CONNECTICUT AVE,,39.051646,-77.075087,,,,
6826,26826,VEIRS MILL RD & CENTERHILL ST,,39.050171,-77.072563,,,,
6828,26828,VEIRS MILL RD & GAIL ST,,39.049454,-77.070976,,,,
6830,26830,VEIRS MILL RD & CLARIDGE RD,,39.048539,-77.069477,,,,
6832,26832,VEIRS MILL RD & PENDELTON  DR,,39.046845,-77.067732,,,,
6834,26834,VEIRS MILL RD & NEWPORT MILL RD,,39.044885,-77.064923,,,,
6836,26836,VEIRS MILL RD & NORRIS DR,,39.044056,-77.063332,,,,
6838,26838,VEIRS MILL RD & SCHOOLHOUSE CIR,,39.042721,-77.06082,,,,
6840,26840,VEIRS MILL RD & COLLEGE VIEW DR,,39.041678,-77.05886,,,,
6842,26842,VEIRS MILL RD & UNIVERSITY BLVD,,39.040336,-77.056328,,,,
6844,26844,VEIRS MILL RD & UNIVERSITY BLVD,,39.03968,-77.05513,,,,
6846,26846,VICTORY LA & POSTOAK RD,,39.049973,-77.177656,,,,
6848,26848,VICTORY LA & BUNNELL DR,,39.04896,-77.176313,,,,
6850,26850,VICTORY LA & HARKER DR,,39.046534,-77.173875,,,,
